Categoria	Conteúdo a 09 de Março de 2014 às 12.50	Tamanho	Disco
OsMeusDocumentarios	Eram os Deuses Austronautas	635716	DISC02
OsMeusDocumentarios	Exotic Saltwater Aquarium	4474280	DISC02
OsMeusDocumentarios	Guinness World Records 2008	722376	DISC02
OsMeusDocumentarios	Hackers Outlaws & Angels	512244	DISC02
OsMeusDocumentarios	[HD] 2012 Apocalypse (Discovery Channel)	1259016	DISC01
OsMeusDocumentarios	[HD] Amazing Ocean (2012)	4415888	DISC06
OsMeusDocumentarios	[HD] Atlas 4D - The Mediterranean (2010)	1143896	DISC03
OsMeusDocumentarios	[HD] Coca.Cola.The.Real.Story.Behind.the.Real	1538352	DISC03
OsMeusDocumentarios	[HD] Exotic Saltwater Aquarium	4474212	DISC03
OsMeusDocumentarios	[HD] IMAX Under The Sea (2009)	4678440	DISC03
OsMeusDocumentarios	[HD] Microcosmos (1996)	4592920	DISC04
OsMeusDocumentarios	[HD] Oceans	4588524	DISC02
OsMeusDocumentarios	[HD] Oceans in Glass - Monterey Bay Aquarium	1309256	DISC03
OsMeusDocumentarios	[HD] Plasma Aquarium	10635736	DISC03
OsMeusDocumentarios	[HD] The Pirate Bay - Away From Keyboard	3123636	DISC06
OsMeusDocumentarios	HelloAfrica	1633352	DISC02
OsMeusDocumentarios	Hubble 15 anos	718196	DISC02
OsMeusDocumentarios	Hubble 15 Years Discovery	8140124	DISC01
OsMeusDocumentarios	Human body The Limits	1073324	DISC02
OsMeusDocumentarios	IMAX Deep Sea 3D	711004	DISC02
OsMeusDocumentarios	IMAX Everest	763196	DISC02
OsMeusDocumentarios	IMAX Mistery of the Nile	718172	DISC02
OsMeusDocumentarios	Inside Planet Earth	724736	DISC02
OsMeusDocumentarios	KamaSutra - Sensual Art Lovemaking - Positions Perfumed	6625188	DISC01
OsMeusDocumentarios	KamaSutra - The Sensual Art of  Lovemaking - Positions of the Tao	6494036	DISC01
OsMeusDocumentarios	Loose Change	716464	DISC02
OsMeusDocumentarios	Misterios Titanic	184280	DISC02
OsMeusDocumentarios	Mortos de Cansaço Dormir Acordados National Geographic	1155200	DISC02
OsMeusDocumentarios	Mortos de Cansaço Episodio 1 Dormir Acordados	578260	DISC02
OsMeusDocumentarios	Mortos de Cansaço Episodio 2 Planeta Insonia	578764	DISC02
OsMeusDocumentarios	Nasa HD Constellation Earth Moon Mars	482028	DISC02
OsMeusDocumentarios	National Geographic Explorer Marijuana	490644	DISC02
OsMeusDocumentarios	National Geographic Journey To The Edge Of The Universe	4757132	DISC02
OsMeusDocumentarios	Nostradamus 2012	723592	DISC02
OsMeusDocumentarios	Nostrodamus	837020	DISC02
OsMeusDocumentarios	Oceans in Glass - Monterey Bay Aquarium	1309256	DISC02
OsMeusDocumentarios	OceanWorld.3D	717916	DISC02
OsMeusDocumentarios	O Futuro dos Robos	329440	DISC02
OsMeusDocumentarios	O Jeito Google de Trabalhar (2010)	444532	DISC01
OsMeusDocumentarios	O segredo da area 51	358248	DISC02
OsMeusDocumentarios	Os Segredos de O Codigo Da Vinci	717344	DISC02
OsMeusDocumentarios	Pixar Short Films Collection Volume 1	711804	DISC02
OsMeusDocumentarios	Plasmaquarium Aquarium DVD (2004)	4153684	DISC02
OsMeusDocumentarios	quem somos nos	2234244	DISC02
OsMeusDocumentarios	RevolutionOs	1438456	DISC02
OsMeusDocumentarios	south pole structure	892296	DISC02
OsMeusDocumentarios	SWAT Workout	2685680	DISC03
OsMeusDocumentarios	TECHNOLOGY-FOR-TOMORROW-EYE-INTHE-SKY	1345456	DISC02
OsMeusDocumentarios	Teorias Nilton ao vivo (2005)	719456	DISC01
OsMeusDocumentarios	Territorio Selvagem Tubarao	717764	DISC02
OsMeusDocumentarios	The History Channel Segredos de Vampiros	622160	DISC02
OsMeusDocumentarios	The Lovers Guide	717712	DISC01
OsMeusDocumentarios	The Planets	5743860	DISC02
OsMeusDocumentarios	THE.SECRET	722608	DISC02
OsMeusDocumentarios	The Tales of The Kamasutra - Perfumed Graden	4253172	DISC01
OsMeusDocumentarios	The Twilight Saga Eclipse - Jimmy Kimmel Show	357928	DISC02
OsMeusDocumentarios	UFO	3892092	DISC02
OsMeusDocumentarios	Universo 14	359012	DISC02
OsMeusDocumentarios	Walking with Dino	5622564	DISC02
OsMeusDocumentarios	What the #$*! Do We now! (2004)	721652	DISC02
OsMeusFilmes	10,000 BC (2008)	1566652	DISC01
OsMeusFilmes	127 Hours (2011)	2248872	DISC01
OsMeusFilmes	13 Going on 30 (2004)	786036	DISC01
OsMeusFilmes	1408 (2007)	779656	DISC02
OsMeusFilmes	15 Minutes (2001)	1618704	DISC01
OsMeusFilmes	17 Again (2009)	748264	DISC01
OsMeusFilmes	18 Year Old Virgin (2009)	597348	DISC01
OsMeusFilmes	2012 Doomsday (2008)	536160	DISC01
OsMeusFilmes	21 (2008)	1456120	DISC01
OsMeusFilmes	21 Grams (2004)	1452452	DISC01
OsMeusFilmes	28 Weeks Later (2007)	1044760	DISC01
OsMeusFilmes	2 Days in Paris (2007)	633072	DISC01
OsMeusFilmes	2 Fast 2 Furious (2003)	1486620	DISC01
OsMeusFilmes	30 Days Until I`m Famous (2004)	1211240	DISC01
OsMeusFilmes	4.3.2.1. (2010)	647488	DISC04
OsMeusFilmes	44 Minutes The North Hollywood Shoot-Out (2003)	722832	DISC02
OsMeusFilmes	(500) Days of Summer (2009)	644788	DISC01
OsMeusFilmes	$9.99 (2010)	826812	DISC01
OsMeusFilmes	9 Songs (2005)	720440	DISC01
OsMeusFilmes	9th Company (2005)	729620	DISC01
OsMeusFilmes	Abgefahren (2004)	720740	DISC03
OsMeusFilmes	A Bird of the Air (2011)	780656	DISC02
OsMeusFilmes	Accepted (2006)	736760	DISC02
OsMeusFilmes	Aces `N` Eights (2008)	720668	DISC02
OsMeusFilmes	A Cinderella Story (2004)	731908	DISC02
OsMeusFilmes	Adaptation. (2003)	728692	DISC02
OsMeusFilmes	Adrift (2009)	1439016	DISC02
OsMeusFilmes	A Good Year (2006)	589152	DISC04
OsMeusFilmes	Agora (2009)	1461888	DISC01
OsMeusFilmes	A Grande Família - O Filme (2007)	717372	DISC02
OsMeusFilmes	A History of Violence (2006)	736396	DISC01
OsMeusFilmes	Albatross (2011)	738868	DISC01
OsMeusFilmes	All the Pretty Horses (2000)	725860	DISC02
OsMeusFilmes	Alone in the Dark (2005)	725180	DISC02
OsMeusFilmes	Along Came a Spider (2001)	620324	DISC02
OsMeusFilmes	A Lot Like Love (2005)	738728	DISC02
OsMeusFilmes	A Love Song for Bobby Long (2005)	728820	DISC01
OsMeusFilmes	A Man Apart (2003)	733624	DISC01
OsMeusFilmes	Amazing Grace (2009)	734148	DISC01
OsMeusFilmes	American Gangster (2007)	776736	DISC02
OsMeusFilmes	American Violet (2008)	748084	DISC01
OsMeusFilmes	A Mighty Heart (2007)	727456	DISC02
OsMeusFilmes	Amália (2008)	4217100	DISC03
OsMeusFilmes	Amélie (2001)	768416	DISC02
OsMeusFilmes	Anaconda (1997)	722984	DISC02
OsMeusFilmes	Anacondas The Hunt for the Blood Orchid (2004)	722668	DISC03
OsMeusFilmes	Anacondas Trail of Blood (2009)	731728	DISC01
OsMeusFilmes	Anamorph (2008)	728804	DISC02
OsMeusFilmes	An Inconvenient Truth (2006)	519300	DISC02
OsMeusFilmes	Another Gay Movie (2007)	969136	DISC02
OsMeusFilmes	Antonia (2007)	720592	DISC02
OsMeusFilmes	An Unfinished Life (2005)	727940	DISC02
OsMeusFilmes	Apartment 12 (2001)	725712	DISC03
OsMeusFilmes	A Perfect World (1993)	4432976	DISC01
OsMeusFilmes	Apocalypto (2007)	937160	DISC02
OsMeusFilmes	A Prairie Home Companion (2006)	727868	DISC02
OsMeusFilmes	Aquamarine (2006)	724804	DISC02
OsMeusFilmes	Arctic Blast (2010)	730416	DISC01
OsMeusFilmes	Are We Done Yet (2007)	849956	DISC02
OsMeusFilmes	Armageddon (1998)	736060	DISC02
OsMeusFilmes	Arthur and the Invisibles (2006)	732832	DISC02
OsMeusFilmes	A Serious Man (2010)	1450132	DISC02
OsMeusFilmes	Ask the Dust (2006)	724040	DISC02
OsMeusFilmes	Asterix at the Olympic Games (2008)	735244	DISC02
OsMeusFilmes	A Thousand Words (2012)	779872	DISC06
OsMeusFilmes	Atonement (2008)	603956	DISC02
OsMeusFilmes	August Rush (2008)	743080	DISC01
OsMeusFilmes	Australia (2008)	1465416	DISC01
OsMeusFilmes	A View to a Kill (1985)	1456076	DISC01
OsMeusFilmes	Awake (2008)	831260	DISC02
OsMeusFilmes	A Walk to Remember (2002)	727976	DISC02
OsMeusFilmes	Babel (2006)	1458888	DISC02
OsMeusFilmes	Baby Mama (2008)	5352724	DISC01
OsMeusFilmes	Bachelor Party Vegas (2006)	2434668	DISC01
OsMeusFilmes	Bad Blood The Hatfields and McCoys (2012)	740692	DISC02
OsMeusFilmes	Bailey`s Billion$ (2005)	1455800	DISC01
OsMeusFilmes	Bairro.2013.PORTUGUESE.DVDRip.XviD-EVO	744232	DISC06
OsMeusFilmes	Balls Out Gary the Tennis Coach (2009)	3094752	DISC01
OsMeusFilmes	Bandidas (2006)	732652	DISC03
OsMeusFilmes	Bangkok Dangerous (2008)	742032	DISC01
OsMeusFilmes	Bangkok Robbery (2004)	719696	DISC03
OsMeusFilmes	Battle Los Angeles (2011)	1469496	DISC01
OsMeusFilmes	Battlestar Galactica Razor (2007)	1007628	DISC02
OsMeusFilmes	Beatdown (2010)	733700	DISC01
OsMeusFilmes	Beautiful Lies (2010)	731716	DISC01
OsMeusFilmes	Beauty and the Paparazzo (2010)	714892	DISC01
OsMeusFilmes	Beauty & the Briefcase (2010)	1543564	DISC01
OsMeusFilmes	Because I Said So (2007)	731132	DISC02
OsMeusFilmes	Bedtime Stories (2009)	747508	DISC01
OsMeusFilmes	Bee Movie (2007)	852136	DISC02
OsMeusFilmes	Behind Enemy Lines Colombia (2009)	729928	DISC01
OsMeusFilmes	Behind Enemy Lines II Axis of Evil (2006)	726524	DISC02
OsMeusFilmes	Beneath the Dark (2011)	730324	DISC01
OsMeusFilmes	Benjamim (2004)	2565620	DISC01
OsMeusFilmes	Beverly Hills Chihuahua (2008)	734836	DISC01
OsMeusFilmes	Big Momma`s House 2 (2006)	745584	DISC02
OsMeusFilmes	Biohazard Degeneration (2008)	726592	DISC03
OsMeusFilmes	Birds of America (2010)	730196	DISC01
OsMeusFilmes	Birth (2005)	728044	DISC01
OsMeusFilmes	Black Cat, White Cat (1998)	1156620	DISC02
OsMeusFilmes	Black Death (2010)	734608	DISC01
OsMeusFilmes	Black Sheep (2007)	730352	DISC03
OsMeusFilmes	Black Snake Moan (2007)	735952	DISC01
OsMeusFilmes	Blades of Glory (2007)	739628	DISC02
OsMeusFilmes	Bless the Child (2001)	734544	DISC02
OsMeusFilmes	Bliss (1997)	579324	DISC06
OsMeusFilmes	Blood and Chocolate (2007)	730804	DISC02
OsMeusFilmes	Blood Creek (2009)	727468	DISC01
OsMeusFilmes	Blood Diamond (2007)	1315140	DISC03
OsMeusFilmes	BloodMonkey (2008)	722252	DISC02
OsMeusFilmes	Bloody Streetz (2003)	721180	DISC03
OsMeusFilmes	Blue (2009)	712600	DISC01
OsMeusFilmes	Blur (2007)	724628	DISC03
OsMeusFilmes	Bo (2010)	715168	DISC01
OsMeusFilmes	Body Double (1985)	729952	DISC01
OsMeusFilmes	Bolt (2008)	737552	DISC01
OsMeusFilmes	Bonnie and Clyde (1967)	724648	DISC01
OsMeusFilmes	Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	1215628	DISC02
OsMeusFilmes	Bordertown (2007)	885956	DISC02
OsMeusFilmes	Boxing Helena (1994)	729784	DISC06
OsMeusFilmes	Boy A (2008)	4340332	DISC01
OsMeusFilmes	Bratz (2007)	720080	DISC02
OsMeusFilmes	Breach (2007)	730164	DISC03
OsMeusFilmes	Breaking and Entering (2007)	843824	DISC03
OsMeusFilmes	Breaking the Girls (2013)	741660	DISC02
OsMeusFilmes	Bride Wars (2009)	750900	DISC01
OsMeusFilmes	Bright Star (2010)	1442072	DISC01
OsMeusFilmes	Bright Young Things (2003)	737856	DISC01
OsMeusFilmes	Brüno (2009)	750800	DISC01
OsMeusFilmes	Brooklyn`s Finest (2010)	1456340	DISC04
OsMeusFilmes	Brothers (2010)	731860	DISC04
OsMeusFilmes	Bruce Almighty (2003)	742596	DISC03
OsMeusFilmes	Bryan Singer and Dean Devlin Present The Triangle (2005)	1439772	DISC03
OsMeusFilmes	Burning Man (2011)	1505720	DISC02
OsMeusFilmes	Cadillac Records (2008)	732612	DISC01
OsMeusFilmes	Ca$h (2010)	1487640	DISC02
OsMeusFilmes	Call Girl (2007)	1446748	DISC01
OsMeusFilmes	Camp Rock 2 The Final Jam (2010)	729156	DISC01
OsMeusFilmes	Carriers (2009)	1075540	DISC02
OsMeusFilmes	Casino Royale (2006)	833672	DISC02
OsMeusFilmes	Cass (2008)	3955724	DISC01
OsMeusFilmes	Catfish (2010)	723332	DISC01
OsMeusFilmes	Catwoman (2004)	732872	DISC02
OsMeusFilmes	Cellular (2004)	3593204	DISC01
OsMeusFilmes	Cemetery Junction (2010)	735300	DISC01
OsMeusFilmes	Center Stage Turn It Up (2008)	724756	DISC01
OsMeusFilmes	Centurion (2010)	731132	DISC01
OsMeusFilmes	Charlie and the Chocolate Factory (2005)	742748	DISC02
OsMeusFilmes	Charlie Bartlett (2009)	723988	DISC01
OsMeusFilmes	Charlie`s Angels Full Throttle (2003)	3462364	DISC01
OsMeusFilmes	Charlotte Gray (2002)	702100	DISC02
OsMeusFilmes	Cheaper by the Dozen 2 (2005)	728364	DISC02
OsMeusFilmes	Cherrybomb (2010)	723068	DISC01
OsMeusFilmes	Cherry Crush (2007)	723384	DISC02
OsMeusFilmes	Chicken Run (2000)	626600	DISC02
OsMeusFilmes	Chick Thing (2005)	721016	DISC02
OsMeusFilmes	Chloe (2011)	731568	DISC01
OsMeusFilmes	Choke (2009)	734516	DISC01
OsMeusFilmes	Christmas in Boston (2005)	721728	DISC02
OsMeusFilmes	Christmas with the Kranks (2004)	813772	DISC02
OsMeusFilmes	Chrysalis (2007)	4595216	DISC01
OsMeusFilmes	Cinema, Aspirins and Vultures (2006)	720832	DISC02
OsMeusFilmes	Circle of Pain (2010)	1448900	DISC01
OsMeusFilmes	City of Angels (1998)	3566888	DISC01
OsMeusFilmes	Click (2006)	728136	DISC02
OsMeusFilmes	Clubbed (2009)	734688	DISC01
OsMeusFilmes	Club Vacanze (1995)	948924	DISC01
OsMeusFilmes	Code Name The Cleaner (2007)	727580	DISC02
OsMeusFilmes	Cold Blood (2005)	722208	DISC03
OsMeusFilmes	Columbus Day (2008)	725512	DISC01
OsMeusFilmes	Come As You Are (2011)	746328	DISC02
OsMeusFilmes	Come Early Morning (2007)	3685708	DISC01
OsMeusFilmes	COMPLEXO Parallel universe (2011)	715880	DISC02
OsMeusFilmes	Confessions of a Shopaholic (2009)	4371832	DISC03
OsMeusFilmes	Constantine (2005)	417788	DISC03
OsMeusFilmes	Control (2007)	4326252	DISC01
OsMeusFilmes	Conversations with God (2007)	727564	DISC02
OsMeusFilmes	Cool Runnings (1994)	727988	DISC03
OsMeusFilmes	Cop Out (2010)	741068	DISC04
OsMeusFilmes	Copper Mountain (1983)	725988	DISC02
OsMeusFilmes	Copycat (1996)	3636488	DISC01
OsMeusFilmes	Cornered! (2009)	783536	DISC01
OsMeusFilmes	Corpse Bride (2005)	264332	DISC02
OsMeusFilmes	Corrupção (2007)	724444	DISC02
OsMeusFilmes	Cão Sem Dono (2007)	714772	DISC02
OsMeusFilmes	Couples Retreat (2009)	775324	DISC01
OsMeusFilmes	Crank High Voltage (2009)	1459172	DISC01
OsMeusFilmes	Crash (2005)	733140	DISC03
OsMeusFilmes	Crazy on the Outside (2010)	728860	DISC01
OsMeusFilmes	Crimson Rivers 2 Angels of the Apocalypse (2004)	2177372	DISC06
OsMeusFilmes	Crouching Tiger, Hidden Dragon (2000)	2938056	DISC01
OsMeusFilmes	Cruel Intentions (1999)	1026684	DISC03
OsMeusFilmes	Cruel Intentions 2 (2001)	743852	DISC03
OsMeusFilmes	Cruel Intentions 3 (2004)	734988	DISC03
OsMeusFilmes	Cry-Baby (1991)	4599100	DISC01
OsMeusFilmes	Crying Freeman (1998)	719088	DISC03
OsMeusFilmes	Dance Flick (2009)	748336	DISC01
OsMeusFilmes	Dark Ride (2006)	721064	DISC02
OsMeusFilmes	Dark Water (2005)	729264	DISC02
OsMeusFilmes	Date Movie (2006)	732228	DISC03
OsMeusFilmes	Date Night (2010)	739596	DISC01
OsMeusFilmes	Dating Games People Play (2005)	726956	DISC03
OsMeusFilmes	Day of Wrath (2006)	723728	DISC03
OsMeusFilmes	Dead Fish (2006)	721932	DISC02
OsMeusFilmes	Deadly Skies (2007)	719292	DISC02
OsMeusFilmes	Dear John (2010)	1447268	DISC04
OsMeusFilmes	Death Defying Acts (2008)	727372	DISC01
OsMeusFilmes	Death Race (2008)	734832	DISC01
OsMeusFilmes	Death Sentence (2008)	757164	DISC01
OsMeusFilmes	Deathwatch (2002)	3606444	DISC01
OsMeusFilmes	Deep Sea (2006)	714124	DISC02
OsMeusFilmes	Deepwater (2005)	721300	DISC02
OsMeusFilmes	Defiance (2009)	1466804	DISC02
OsMeusFilmes	Definitely, Maybe (2008)	738808	DISC02
OsMeusFilmes	Deja Vu (2006)	464184	DISC02
OsMeusFilmes	Delicacy (2012)	801288	DISC02
OsMeusFilmes	Deliverance (1972)	3882484	DISC01
OsMeusFilmes	Derailed (2006)	730272	DISC02
OsMeusFilmes	Deuce Bigalow European Gigolo (2005)	750016	DISC02
OsMeusFilmes	Devil Man - Volume 2 Demon Bird (1990)	720740	DISC01
OsMeusFilmes	Diamond Dogs (2009)	769512	DISC02
OsMeusFilmes	Diamonds Are Forever (1971)	1456164	DISC01
OsMeusFilmes	Die Another Day (2003)	1457372	DISC01
OsMeusFilmes	Dinner for Schmucks (2010)	1488648	DISC06
OsMeusFilmes	Dirty (2005)	724544	DISC02
OsMeusFilmes	District 9 (2009)	1458248	DISC01
OsMeusFilmes	Disturbia (2007)	734912	DISC03
OsMeusFilmes	DNA (1997)	721136	DISC02
OsMeusFilmes	DOA Dead or Alive (2006)	729336	DISC03
OsMeusFilmes	Doctor Strange (2007)	720144	DISC03
OsMeusFilmes	Dolphins (2007)	726188	DISC03
OsMeusFilmes	Don`t Look Back (2012)	730704	DISC03
OsMeusFilmes	Doom (2005)	724932	DISC02
OsMeusFilmes	Dorian Gray (2010)	730400	DISC01
OsMeusFilmes	Double Identity (2009)	3540048	DISC01
OsMeusFilmes	Double zéro (2004)	726288	DISC02
OsMeusFilmes	Drag Me to Hell (2010)	1462632	DISC01
OsMeusFilmes	Dragonball Evolution (2009)	735192	DISC01
OsMeusFilmes	Dragon The Bruce Lee Story (1993)	726728	DISC01
OsMeusFilmes	Drama (2010)	767820	DISC03
OsMeusFilmes	Dr. Dolittle 3 (2006)	725852	DISC03
OsMeusFilmes	Dreamcatcher (2003)	727892	DISC03
OsMeusFilmes	Dreamer Inspired by a True Story (2006)	726688	DISC02
OsMeusFilmes	Dreamgirls (2007)	1451320	DISC02
OsMeusFilmes	Dr. No (1963)	1453784	DISC01
OsMeusFilmes	Duas Mulheres (2010)	781936	DISC01
OsMeusFilmes	Dungeons & Dragons (2000)	1611796	DISC02
OsMeusFilmes	Duplex (2003)	3101960	DISC01
OsMeusFilmes	Eastern Promises (2007)	738368	DISC01
OsMeusFilmes	Easy A (2010)	804376	DISC02
OsMeusFilmes	Eccentricities of a Blonde-haired Girl (2009)	721944	DISC02
OsMeusFilmes	Eclipse (2010)	1496576	DISC02
OsMeusFilmes	Edge of Darkness (2010)	754848	DISC01
OsMeusFilmes	Edison (2006)	3435696	DISC01
OsMeusFilmes	Eight Below (2006)	725704	DISC02
OsMeusFilmes	El Cortez (2007)	718400	DISC02
OsMeusFilmes	Elite Squad (2008)	1447692	DISC02
OsMeusFilmes	Elizabeth The Golden Age (2007)	730624	DISC03
OsMeusFilmes	Elsewhere (2009)	722708	DISC01
OsMeusFilmes	Emma (1997)	4290912	DISC01
OsMeusFilmes	Enchanted (2007)	762640	DISC02
OsMeusFilmes	End of the Spear (2006)	732948	DISC02
OsMeusFilmes	Enemy at the Gates (2001)	4555436	DISC02
OsMeusFilmes	Enter the Void (2010)	1437968	DISC04
OsMeusFilmes	Epic Movie (2007)	734044	DISC02
OsMeusFilmes	Eragon (2006)	732164	DISC03
OsMeusFilmes	Escape to Witch Mountain (1975)	3830988	DISC01
OsMeusFilmes	Evan Almighty (2007)	744716	DISC03
OsMeusFilmes	Everest (1998)	765460	DISC02
OsMeusFilmes	Factory Girl (2007)	734872	DISC02
OsMeusFilmes	Failure to Launch (2006)	734492	DISC02
OsMeusFilmes	Fantastic 4 Rise of the Silver Surfer (2007)	745020	DISC02
OsMeusFilmes	Fantastic Mr. Fox (2009)	729916	DISC01
OsMeusFilmes	Fast Track No Limits (2008)	3460864	DISC01
OsMeusFilmes	Fat Pizza (2003)	727368	DISC01
OsMeusFilmes	Felon (2008)	3281432	DISC01
OsMeusFilmes	Filhas do Vento (2005)	721880	DISC02
OsMeusFilmes	Firehouse Dog (2007)	830216	DISC03
OsMeusFilmes	Fireproof (2008)	1447556	DISC03
OsMeusFilmes	Firewall (2006)	735156	DISC02
OsMeusFilmes	First Blood (1983)	829760	DISC02
OsMeusFilmes	First Born (2007)	726144	DISC02
OsMeusFilmes	Five Children and It (2004)	721528	DISC02
OsMeusFilmes	Five Minarets in New York (2010)	738668	DISC01
OsMeusFilmes	Flags of Our Fathers (2006)	751568	DISC03
OsMeusFilmes	Flash Gordon (1981)	1921284	DISC03
OsMeusFilmes	Flawless (2009)	415048	DISC03
OsMeusFilmes	Flight 93 (2006)	733340	DISC03
OsMeusFilmes	Floripes (2005)	719348	DISC02
OsMeusFilmes	Flyboys (2006)	1445784	DISC02
OsMeusFilmes	Fool`s Gold (2008)	734596	DISC01
OsMeusFilmes	Forbidden Warrior (2005)	724640	DISC03
OsMeusFilmes	Forget Me Not (2009)	724580	DISC01
OsMeusFilmes	Forgetting Sarah Marshall (2008)	4720540	DISC01
OsMeusFilmes	For Love and Gold (1966)	720680	DISC02
OsMeusFilmes	For the Love of Money (2012)	750736	DISC02
OsMeusFilmes	For Your Eyes Only (1981)	1460432	DISC01
OsMeusFilmes	Foster (2012)	741992	DISC02
OsMeusFilmes	Four Brothers (2005)	4889868	DISC01
OsMeusFilmes	Freedom Writers (2007)	732660	DISC02
OsMeusFilmes	Frequency (2000)	1445356	DISC03
OsMeusFilmes	Frida (2002)	4378000	DISC01
OsMeusFilmes	Friends with Money (2006)	733500	DISC03
OsMeusFilmes	From Russia with Love (1964)	1457652	DISC01
OsMeusFilmes	FrostNixon (2009)	4610296	DISC01
OsMeusFilmes	Fur An Imaginary Portrait of Diane Arbus (2007)	1109540	DISC02
OsMeusFilmes	Furnace (2008)	1134784	DISC01
OsMeusFilmes	Gamer (2009)	734584	DISC01
OsMeusFilmes	Gamera the Brave (2006)	721592	DISC02
OsMeusFilmes	Geek Charming (2011)	779704	DISC06
OsMeusFilmes	Get Him to the Greek (2010)	1469128	DISC04
OsMeusFilmes	Get Rich or Die Tryin` (2005)	737036	DISC02
OsMeusFilmes	Ghost Rider (2007)	733288	DISC01
OsMeusFilmes	Ghost Ship (2003)	724104	DISC02
OsMeusFilmes	Glass House The Good Mother (2006)	726456	DISC02
OsMeusFilmes	Glory Road (2006)	1569032	DISC02
OsMeusFilmes	Godspeed (2009)	723460	DISC04
OsMeusFilmes	GoldenEye (1995)	1449436	DISC01
OsMeusFilmes	Goldfinger (1965)	1452576	DISC01
OsMeusFilmes	Gone (2007)	720696	DISC02
OsMeusFilmes	Good Luck Chuck (2007)	739228	DISC01
OsMeusFilmes	Good Night, and Good Luck. (2006)	729708	DISC03
OsMeusFilmes	Gospel of Deceit (2006)	1440600	DISC02
OsMeusFilmes	Goya`s Ghosts (2007)	1451532	DISC03
OsMeusFilmes	Gran Torino (2009)	835784	DISC01
OsMeusFilmes	Grease (1978)	14077376	DISC02
OsMeusFilmes	Grease 2 (1982)	723088	DISC03
OsMeusFilmes	Gridiron Gang (2006)	1449212	DISC02
OsMeusFilmes	Griffin & Phoenix (2007)	640968	DISC03
OsMeusFilmes	Grilled (2006)	723580	DISC02
OsMeusFilmes	Grind (2003)	728516	DISC01
OsMeusFilmes	Ground Control (1998)	723252	DISC02
OsMeusFilmes	Group Sex (2012)	732372	DISC01
OsMeusFilmes	Gunfight at the O.K. Corral (1957)	1240512	DISC02
OsMeusFilmes	Hachi A Dog`s Tale (2010)	736688	DISC01
OsMeusFilmes	Hairspray (2007)	1089512	DISC02
OsMeusFilmes	Half Light (2006)	798540	DISC03
OsMeusFilmes	Half Past Dead 2 (2007)	725356	DISC03
OsMeusFilmes	Halloween (2007)	715632	DISC02
OsMeusFilmes	Hanna (2011)	1412728	DISC01
OsMeusFilmes	Hannibal Rising (2007)	1447212	DISC02
OsMeusFilmes	Happily N`Ever After (2007)	725488	DISC03
OsMeusFilmes	Happy Gilmore (1996)	3373204	DISC01
OsMeusFilmes	Hard Candy (2006)	907516	DISC02
OsMeusFilmes	Harry Potter and the Deathly Hallows Part 2 (2011)	1627144	DISC02
OsMeusFilmesHD	1114 (2004)	4601520	DISC06
OsMeusFilmesHD	2001 A Space Odyssey (1968)	7947484	DISC03
OsMeusFilmesHD	2012 (2009)	17744160	DISC04
